Player,Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Garrett Temple,NOP,NOP vs. LAC,01/13/2022,W,13,3,1,5,20.0,1,3,33.3,0,0,-,0,0,0,0,0,0,0,1,-8
Serge Ibaka,LAC,LAC @ NOP,01/13/2022,L,20,10,4,8,50.0,2,4,50.0,0,0,-,0,6,6,0,0,2,0,2,-2
Herbert Jones,NOP,NOP vs. LAC,01/13/2022,W,32,14,5,6,83.3,2,3,66.7,2,2,100,1,5,6,3,3,0,1,2,29
Brandon Boston Jr.,LAC,LAC @ NOP,01/13/2022,L,23,10,3,8,37.5,1,3,33.3,3,3,100,0,5,5,2,0,1,1,0,1
Naji Marshall,NOP,NOP vs. LAC,01/13/2022,W,3,5,2,4,50.0,1,1,100,0,0,-,0,1,1,0,0,0,0,0,3
Jay Scrubb,LAC,LAC @ NOP,01/13/2022,L,21,4,2,6,33.3,0,2,0.0,0,1,0.0,1,2,3,0,0,0,2,1,4
Xavier Moon,LAC,LAC @ NOP,01/13/2022,L,15,10,3,4,75.0,2,2,100,2,3,66.7,0,0,0,4,0,0,1,1,4
John Konchar,MEM,MEM vs. MIN,01/13/2022,W,30,15,6,7,85.7,3,4,75.0,0,0,-,3,14,17,3,0,0,0,3,15
Brandon Clarke,MEM,MEM vs. MIN,01/13/2022,W,26,14,6,10,60.0,0,0,-,2,2,100,4,4,8,1,0,1,0,1,16
Jaren Jackson Jr.,MEM,MEM vs. MIN,01/13/2022,W,33,20,6,10,60.0,2,3,66.7,6,10,60.0,1,4,5,1,1,5,2,3,6
Taurean Prince,MIN,MIN @ MEM,01/13/2022,L,10,2,1,2,50.0,0,1,0.0,0,0,-,1,0,1,1,0,0,0,1,0
D'Angelo Russell,MIN,MIN @ MEM,01/13/2022,L,35,29,11,19,57.9,6,11,54.5,1,2,50.0,0,3,3,6,0,1,2,6,-3
Greg Brown III,POR,POR @ DEN,01/13/2022,L,10,8,3,4,75.0,0,1,0.0,2,2,100,1,0,1,0,0,0,1,1,-3
Markus Howard,DEN,DEN vs. POR,01/13/2022,W,3,3,1,2,50.0,1,2,50.0,0,0,-,0,0,0,0,0,0,0,0,-1
Davon Reed,DEN,DEN vs. POR,01/13/2022,W,5,3,1,1,100,1,1,100,0,0,-,0,1,1,1,0,0,0,0,9
Ja Morant,MEM,MEM vs. MIN,01/13/2022,W,32,16,5,16,31.3,0,7,0.0,6,7,85.7,3,5,8,9,0,0,4,3,5
Monte Morris,DEN,DEN vs. POR,01/13/2022,W,22,9,2,5,40.0,2,5,40.0,3,3,100,0,1,1,2,0,0,0,2,15
Nikola Jokic,DEN,DEN vs. POR,01/13/2022,W,28,20,8,10,80.0,1,2,50.0,3,3,100,0,8,8,7,0,2,3,2,18
Jusuf Nurkic,POR,POR @ DEN,01/13/2022,L,25,10,4,9,44.4,0,3,0.0,2,3,66.7,2,6,8,6,1,1,3,4,-11
Aaron Gordon,DEN,DEN vs. POR,01/13/2022,W,27,5,2,5,40.0,0,2,0.0,1,2,50.0,0,8,8,4,0,1,3,1,12
Gary Clark,NOP,NOP vs. LAC,01/13/2022,W,6,0,0,3,0.0,0,3,0.0,0,0,-,0,2,2,0,0,0,0,1,-1
Jonas Valanciunas,NOP,NOP vs. LAC,01/13/2022,W,32,18,7,12,58.3,2,3,66.7,2,2,100,2,14,16,0,0,0,2,2,16
Patrick Beverley,MIN,MIN @ MEM,01/13/2022,L,30,3,1,9,11.1,0,5,0.0,1,2,50.0,2,6,8,6,2,2,1,3,-3
Jeff Green,DEN,DEN vs. POR,01/13/2022,W,30,19,9,11,81.8,0,1,0.0,1,1,100,1,4,5,3,0,0,1,3,13
Naz Reid,MIN,MIN @ MEM,01/13/2022,L,11,4,1,8,12.5,1,3,33.3,1,2,50.0,0,2,2,0,0,2,2,0,-6
Anthony Edwards,MIN,MIN @ MEM,01/13/2022,L,38,30,9,20,45.0,5,11,45.5,7,7,100,0,2,2,4,1,0,3,2,-2
Jaden McDaniels,MIN,MIN @ MEM,01/13/2022,L,19,4,2,7,28.6,0,3,0.0,0,0,-,2,3,5,0,0,1,1,2,-14
Xavier Tillman,MEM,MEM vs. MIN,01/13/2022,W,15,6,3,8,37.5,0,1,0.0,0,4,0.0,1,1,2,0,2,0,0,1,2
Desmond Bane,MEM,MEM vs. MIN,01/13/2022,W,32,21,5,12,41.7,2,8,25.0,9,9,100,0,3,3,2,4,0,5,2,10
Austin Rivers,DEN,DEN vs. POR,01/13/2022,W,27,9,3,7,42.9,3,7,42.9,0,0,-,0,0,0,1,1,0,1,3,18
Dennis Smith Jr.,POR,POR @ DEN,01/13/2022,L,36,17,7,12,58.3,0,1,0.0,3,5,60.0,0,2,2,8,1,0,1,3,-14
CJ Elleby,POR,POR @ DEN,01/13/2022,L,27,8,2,10,20.0,2,5,40.0,2,2,100,2,1,3,7,3,0,1,3,-24
Nassir Little,POR,POR @ DEN,01/13/2022,L,27,14,4,12,33.3,3,10,30.0,3,4,75.0,1,3,4,2,0,1,0,0,-26
Keljin Blevins,POR,POR @ DEN,01/13/2022,L,15,6,2,3,66.7,2,3,66.7,0,2,0.0,0,2,2,1,0,0,1,1,-23
Andre Iguodala,GSW,GSW @ MIL,01/13/2022,L,13,2,1,3,33.3,0,1,0.0,0,0,-,1,1,2,1,0,0,1,1,-21
Kyle Anderson,MEM,MEM vs. MIN,01/13/2022,W,23,6,3,7,42.9,0,0,-,0,2,0.0,2,4,6,3,0,1,1,1,-8
Tyus Jones,MEM,MEM vs. MIN,01/13/2022,W,16,6,3,7,42.9,0,3,0.0,0,0,-,0,4,4,2,0,0,1,0,3
Karl-Anthony Towns,MIN,MIN @ MEM,01/13/2022,L,40,25,11,17,64.7,2,6,33.3,1,1,100,2,7,9,3,1,2,4,4,-2
Malik Beasley,MIN,MIN @ MEM,01/13/2022,L,24,3,1,8,12.5,1,7,14.3,0,0,-,1,2,3,3,0,0,0,3,-10
De'Anthony Melton,MEM,MEM vs. MIN,01/13/2022,W,16,7,3,10,30.0,1,4,25.0,0,0,-,2,1,3,1,2,0,0,0,-2
Josh Okogie,MIN,MIN @ MEM,01/13/2022,L,3,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,0,0,0,0,0,5
Jeremiah Robinson-Earl,OKC,OKC @ BKN,01/13/2022,W,24,0,0,2,0.0,0,1,0.0,0,0,-,1,3,4,2,0,2,0,4,9
Luguentz Dort,OKC,OKC @ BKN,01/13/2022,W,33,27,9,17,52.9,6,10,60.0,3,4,75.0,0,1,1,2,0,0,0,2,8
Shai Gilgeous-Alexander,OKC,OKC @ BKN,01/13/2022,W,35,33,11,18,61.1,2,5,40.0,9,10,90.0,2,8,10,9,1,2,5,0,30
DeAndre' Bembry,BKN,BKN vs. OKC,01/13/2022,L,13,4,2,5,40.0,0,1,0.0,0,0,-,1,0,1,1,0,0,1,3,-18
Mike Muscala,OKC,OKC @ BKN,01/13/2022,W,12,14,5,6,83.3,4,4,100,0,0,-,0,0,0,0,1,1,0,1,22
James Johnson,BKN,BKN vs. OKC,01/13/2022,L,9,4,2,3,66.7,0,0,-,0,0,-,1,1,2,1,0,0,0,0,-6
Paul Millsap,BKN,BKN vs. OKC,01/13/2022,L,19,8,4,6,66.7,0,1,0.0,0,0,-,4,6,10,1,0,3,1,1,-5
Ziaire Williams,MEM,MEM vs. MIN,01/13/2022,W,18,5,2,5,40.0,0,2,0.0,1,1,100,0,0,0,0,1,0,0,1,-7
Tony Snell,POR,POR @ DEN,01/13/2022,L,17,6,3,5,60.0,0,2,0.0,0,0,-,1,3,4,0,0,0,1,0,-17
Robert Covington,POR,POR @ DEN,01/13/2022,L,30,10,4,10,40.0,2,5,40.0,0,2,0.0,3,4,7,0,4,0,2,1,-10
Gary Payton II,GSW,GSW @ MIL,01/13/2022,L,5,0,0,1,0.0,0,1,0.0,0,0,-,0,1,1,2,1,0,1,1,-12
Semi Ojeleye,MIL,MIL vs. GSW,01/13/2022,W,5,3,1,1,100,1,1,100,0,0,-,0,0,0,0,1,0,0,0,-8
Grayson Allen,MIL,MIL vs. GSW,01/13/2022,W,27,15,6,10,60.0,3,7,42.9,0,0,-,0,5,5,0,2,1,1,1,15
Juan Toscano-Anderson,GSW,GSW @ MIL,01/13/2022,L,18,9,3,6,50.0,3,5,60.0,0,2,0.0,0,2,2,1,2,0,1,1,-12
Lindell Wigginton,MIL,MIL vs. GSW,01/13/2022,W,5,2,1,1,100,0,0,-,0,0,-,0,1,1,0,1,0,0,0,-8
Jordan Nwora,MIL,MIL vs. GSW,01/13/2022,W,20,6,3,10,30.0,0,4,0.0,0,2,0.0,0,7,7,1,2,0,2,1,-10
Jordan Poole,GSW,GSW @ MIL,01/13/2022,L,24,9,2,7,28.6,2,7,28.6,3,3,100,0,3,3,0,0,0,2,2,2
George Hill,MIL,MIL vs. GSW,01/13/2022,W,18,0,0,4,0.0,0,2,0.0,0,0,-,1,2,3,4,0,0,1,1,12
Jevon Carter,BKN,BKN vs. OKC,01/13/2022,L,25,6,3,9,33.3,0,3,0.0,0,0,-,1,1,2,0,1,0,1,2,-18
James Harden,BKN,BKN vs. OKC,01/13/2022,L,36,26,7,22,31.8,3,11,27.3,9,9,100,1,6,7,9,3,3,3,2,-9
Blake Griffin,BKN,BKN vs. OKC,01/13/2022,L,13,4,1,3,33.3,0,1,0.0,2,2,100,1,3,4,1,0,0,0,1,-6
Aaron Wiggins,OKC,OKC @ BKN,01/13/2022,W,27,9,3,8,37.5,1,2,50.0,2,2,100,3,3,6,2,1,0,1,5,15
Day'Ron Sharpe,BKN,BKN vs. OKC,01/13/2022,L,20,4,2,5,40.0,0,0,-,0,0,-,2,4,6,1,0,1,1,2,-17
Nemanja Bjelica,GSW,GSW @ MIL,01/13/2022,L,15,0,0,7,0.0,0,4,0.0,0,0,-,1,0,1,3,0,0,0,0,-2
Otto Porter Jr.,GSW,GSW @ MIL,01/13/2022,L,15,8,3,6,50.0,2,3,66.7,0,0,-,0,5,5,1,1,0,0,0,-4
Rodney Hood,MIL,MIL vs. GSW,01/13/2022,W,13,3,1,1,100,1,1,100,0,0,-,0,0,0,2,0,1,0,1,16
Bobby Portis,MIL,MIL vs. GSW,01/13/2022,W,25,20,8,16,50.0,4,7,57.1,0,0,-,0,7,7,0,1,1,2,4,27
Donte DiVincenzo,MIL,MIL vs. GSW,01/13/2022,W,20,5,2,7,28.6,1,5,20.0,0,0,-,1,5,6,0,1,0,3,2,5
Chris Chiozza,GSW,GSW @ MIL,01/13/2022,L,14,3,1,4,25.0,1,3,33.3,0,0,-,0,2,2,4,0,0,2,1,11
Eric Bledsoe,LAC,LAC @ NOP,01/13/2022,L,9,3,1,2,50.0,0,0,-,1,1,100,0,1,1,2,0,0,2,0,-8
Marcus Morris Sr.,LAC,LAC @ NOP,01/13/2022,L,23,12,3,14,21.4,1,9,11.1,5,5,100,1,2,3,1,0,1,2,1,-24
Reggie Jackson,LAC,LAC @ NOP,01/13/2022,L,25,5,2,11,18.2,1,6,16.7,0,0,-,0,6,6,3,0,0,1,0,-25
Brandon Ingram,NOP,NOP vs. LAC,01/13/2022,W,33,24,10,19,52.6,1,4,25.0,3,4,75.0,0,5,5,6,1,0,1,2,27
Ivica Zubac,LAC,LAC @ NOP,01/13/2022,L,20,6,3,5,60.0,0,0,-,0,0,-,1,4,5,1,0,0,0,3,-12
Bruce Brown,BKN,BKN vs. OKC,01/13/2022,L,27,10,4,10,40.0,0,2,0.0,2,2,100,4,4,8,1,2,2,2,2,-3
David Duke Jr.,BKN,BKN vs. OKC,01/13/2022,L,20,13,4,7,57.1,3,3,100,2,2,100,3,2,5,1,0,1,2,1,-2
Trendon Watford,POR,POR @ DEN,01/13/2022,L,23,11,4,7,57.1,0,1,0.0,3,5,60.0,1,1,2,0,0,2,4,2,-21
Bones Hyland,DEN,DEN vs. POR,01/13/2022,W,23,17,6,12,50.0,5,8,62.5,0,0,-,0,4,4,3,0,0,3,6,24
Facundo Campazzo,DEN,DEN vs. POR,01/13/2022,W,27,18,7,10,70.0,3,6,50.0,1,2,50.0,0,0,0,12,4,0,3,4,21
Pat Connaughton,MIL,MIL vs. GSW,01/13/2022,W,16,3,1,2,50.0,1,2,50.0,0,0,-,1,4,5,3,0,0,0,2,4
Zeke Nnaji,DEN,DEN vs. POR,01/13/2022,W,22,16,6,8,75.0,1,2,50.0,3,3,100,4,5,9,0,1,0,0,2,20
Devonte' Graham,NOP,NOP vs. LAC,01/13/2022,W,33,13,4,15,26.7,4,10,40.0,1,1,100,1,5,6,7,0,0,0,1,20
Wenyen Gabriel,LAC,LAC @ NOP,01/13/2022,L,4,3,1,1,100,1,1,100,0,0,-,1,2,3,0,0,0,2,2,-4
Amir Coffey,LAC,LAC @ NOP,01/13/2022,L,26,5,2,7,28.6,1,4,25.0,0,0,-,1,5,6,5,1,0,2,2,-23
Terance Mann,LAC,LAC @ NOP,01/13/2022,L,31,15,5,10,50.0,1,1,100,4,5,80.0,0,4,4,1,0,0,1,2,-13
Sandro Mamukelashvili,MIL,MIL vs. GSW,01/13/2022,W,6,0,0,0,-,0,0,-,0,0,-,0,0,0,1,0,0,0,0,-8
Thanasis Antetokounmpo,MIL,MIL vs. GSW,01/13/2022,W,5,2,1,1,100,0,0,-,0,0,-,0,0,0,0,0,1,0,1,-8
Jonathan Kuminga,GSW,GSW @ MIL,01/13/2022,L,19,15,5,16,31.3,1,3,33.3,4,6,66.7,4,3,7,0,1,0,0,1,6
Damion Lee,GSW,GSW @ MIL,01/13/2022,L,23,7,3,7,42.9,1,3,33.3,0,0,-,1,6,7,1,1,0,1,2,-12
Nicolas Batum,LAC,LAC @ NOP,01/13/2022,L,24,6,2,5,40.0,0,2,0.0,2,2,100,0,4,4,0,1,3,1,2,-18
Kevon Looney,GSW,GSW @ MIL,01/13/2022,L,15,7,2,5,40.0,0,0,-,3,6,50.0,4,3,7,1,0,1,0,4,-3
Andrew Wiggins,GSW,GSW @ MIL,01/13/2022,L,28,16,6,11,54.5,2,5,40.0,2,2,100,0,2,2,1,0,1,2,1,-15
Giannis Antetokounmpo,MIL,MIL vs. GSW,01/13/2022,W,30,30,11,17,64.7,0,2,0.0,8,12,66.7,2,10,12,11,0,3,5,2,22
Khris Middleton,MIL,MIL vs. GSW,01/13/2022,W,30,23,7,13,53.8,5,7,71.4,4,4,100,0,5,5,7,1,0,2,1,20
Klay Thompson,GSW,GSW @ MIL,01/13/2022,L,21,11,3,11,27.3,2,7,28.6,3,3,100,1,1,2,1,1,0,1,1,-8
Wesley Matthews,MIL,MIL vs. GSW,01/13/2022,W,23,6,2,3,66.7,2,3,66.7,0,0,-,0,3,3,0,1,0,0,0,16
Mamadi Diakite,OKC,OKC @ BKN,01/13/2022,W,10,2,1,3,33.3,0,0,-,0,0,-,0,0,0,0,0,0,0,2,-4
Darius Bazley,OKC,OKC @ BKN,01/13/2022,W,20,16,6,9,66.7,2,5,40.0,2,2,100,1,4,5,0,0,1,1,0,1
Ty Jerome,OKC,OKC @ BKN,01/13/2022,W,25,3,1,6,16.7,1,5,20.0,0,0,-,0,1,1,6,1,0,1,2,16
Tre Mann,OKC,OKC @ BKN,01/13/2022,W,23,7,3,5,60.0,1,2,50.0,0,0,-,1,7,8,4,3,1,0,2,11
Kessler Edwards,BKN,BKN vs. OKC,01/13/2022,L,25,9,4,10,40.0,0,3,0.0,1,1,100,2,0,2,0,0,1,0,2,-10
Cam Thomas,BKN,BKN vs. OKC,01/13/2022,L,33,21,8,18,44.4,1,7,14.3,4,6,66.7,1,2,3,0,1,0,1,3,-11
Josh Giddey,OKC,OKC @ BKN,01/13/2022,W,31,19,8,17,47.1,3,11,27.3,0,0,-,1,2,3,7,1,0,2,1,-3
Stephen Curry,GSW,GSW @ MIL,01/13/2022,L,29,12,4,11,36.4,2,6,33.3,2,2,100,0,8,8,4,2,0,4,0,-25
Will Barton,DEN,DEN vs. POR,01/13/2022,W,25,21,7,12,58.3,4,6,66.7,3,6,50.0,1,3,4,2,1,0,1,2,11
Ben McLemore,POR,POR @ DEN,01/13/2022,L,29,18,6,14,42.9,4,9,44.4,2,3,66.7,0,1,1,4,2,1,1,3,-11
Jarred Vanderbilt,MIN,MIN @ MEM,01/13/2022,L,30,8,4,5,80.0,0,0,-,0,0,-,4,9,13,0,0,0,2,5,-5
Danilo Gallinari,ATL,ATL vs. MIA,01/12/2022,L,26,7,3,7,42.9,1,4,25.0,0,0,-,0,5,5,0,0,0,2,2,-4
Robin Lopez,ORL,ORL @ WAS,01/12/2022,L,31,16,7,14,50.0,0,0,-,2,3,66.7,7,4,11,2,0,1,0,3,5
Al Horford,BOS,BOS @ IND,01/12/2022,W,28,8,4,8,50.0,0,3,0.0,0,0,-,1,3,4,4,0,0,0,1,17
Jeremy Lamb,IND,IND vs. BOS,01/12/2022,L,6,3,1,3,33.3,1,3,33.3,0,0,-,0,0,0,0,0,0,2,2,0
Dennis Schroder,BOS,BOS @ IND,01/12/2022,W,34,23,7,11,63.6,4,5,80.0,5,6,83.3,0,2,2,3,1,0,2,3,15
Myles Turner,IND,IND vs. BOS,01/12/2022,L,24,18,8,14,57.1,0,5,0.0,2,2,100,2,2,4,1,0,1,0,4,-22
Keifer Sykes,IND,IND vs. BOS,01/12/2022,L,5,2,1,1,100,0,0,-,0,0,-,0,0,0,1,1,0,0,0,3
Jaylen Brown,BOS,BOS @ IND,01/12/2022,W,35,34,11,19,57.9,7,11,63.6,5,5,100,0,5,5,3,0,0,3,4,14
Malcolm Brogdon,IND,IND vs. BOS,01/12/2022,L,17,6,3,7,42.9,0,0,-,0,0,-,0,1,1,2,0,0,1,1,-16
Torrey Craig,IND,IND vs. BOS,01/12/2022,L,27,0,0,4,0.0,0,3,0.0,0,0,-,2,1,3,3,0,0,0,1,-10
Bruno Fernando,BOS,BOS @ IND,01/12/2022,W,3,2,0,0,-,0,0,-,2,2,100,0,1,1,0,0,0,1,0,-1
Robert Williams III,BOS,BOS @ IND,01/12/2022,W,23,5,2,3,66.7,0,0,-,1,2,50.0,3,6,9,2,0,1,0,4,21
Romeo Langford,BOS,BOS @ IND,01/12/2022,W,3,3,1,1,100,1,1,100,0,0,-,0,0,0,0,1,0,0,1,-1
Aaron Nesmith,BOS,BOS @ IND,01/12/2022,W,3,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-1
Brodric Thomas,BOS,BOS @ IND,01/12/2022,W,3,0,0,3,0.0,0,2,0.0,0,0,-,1,0,1,2,0,0,0,1,-1
Duane Washington Jr.,IND,IND vs. BOS,01/12/2022,L,14,4,1,5,20.0,1,3,33.3,1,2,50.0,0,2,2,2,0,0,2,2,8
Terry Taylor,IND,IND vs. BOS,01/12/2022,L,5,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,3
Danny Green,PHI,PHI vs. CHA,01/12/2022,L,10,7,2,5,40.0,2,4,50.0,1,2,50.0,0,2,2,0,0,1,1,0,6
Gordon Hayward,CHA,CHA @ PHI,01/12/2022,W,36,30,13,16,81.3,4,4,100,0,0,-,0,4,4,7,3,0,2,2,10
Andre Drummond,PHI,PHI vs. CHA,01/12/2022,L,20,2,1,2,50.0,0,0,-,0,4,0.0,0,8,8,1,1,0,1,1,4
Seth Curry,PHI,PHI vs. CHA,01/12/2022,L,34,10,4,7,57.1,2,4,50.0,0,0,-,0,3,3,3,1,0,3,1,-12
Joel Embiid,PHI,PHI vs. CHA,01/12/2022,L,33,31,10,17,58.8,1,3,33.3,10,14,71.4,1,5,6,3,0,1,7,3,-16
Terry Rozier,CHA,CHA @ PHI,01/12/2022,W,41,22,10,18,55.6,2,6,33.3,0,1,0.0,1,3,4,4,2,0,0,3,13
Georges Niang,PHI,PHI vs. CHA,01/12/2022,L,15,3,1,3,33.3,1,3,33.3,0,0,-,0,0,0,1,0,0,1,5,-3
Corey Kispert,WAS,WAS vs. ORL,01/12/2022,W,29,11,4,6,66.7,3,5,60.0,0,0,-,0,3,3,0,0,0,1,1,6
P.J. Washington,CHA,CHA @ PHI,01/12/2022,W,19,2,1,6,16.7,0,4,0.0,0,0,-,3,5,8,2,1,1,2,5,0
Myles Powell,PHI,PHI vs. CHA,01/12/2022,L,1,2,1,1,100,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1
Charles Bassey,PHI,PHI vs. CHA,01/12/2022,L,1,2,1,1,100,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1
Franz Wagner,ORL,ORL @ WAS,01/12/2022,L,32,14,6,16,37.5,0,2,0.0,2,2,100,3,3,6,10,1,0,0,1,-12
Jalen McDaniels,CHA,CHA @ PHI,01/12/2022,W,17,4,2,5,40.0,0,2,0.0,0,0,-,2,2,4,1,0,0,1,1,-8
Matisse Thybulle,PHI,PHI vs. CHA,01/12/2022,L,16,0,0,2,0.0,0,2,0.0,0,0,-,0,3,3,0,0,1,0,0,-14
Charlie Brown Jr.,PHI,PHI vs. CHA,01/12/2022,L,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1
LaMelo Ball,CHA,CHA @ PHI,01/12/2022,W,36,13,5,16,31.3,0,8,0.0,3,3,100,0,7,7,8,1,0,1,0,18
Paul Reed,PHI,PHI vs. CHA,01/12/2022,L,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1
Justin Holiday,IND,IND vs. BOS,01/12/2022,L,26,13,5,11,45.5,3,9,33.3,0,0,-,1,2,3,2,0,1,0,2,-15
Josh Richardson,BOS,BOS @ IND,01/12/2022,W,29,5,2,7,28.6,1,4,25.0,0,0,-,0,3,3,4,0,1,1,1,-2
Domantas Sabonis,IND,IND vs. BOS,01/12/2022,L,32,17,7,11,63.6,0,2,0.0,3,5,60.0,2,4,6,6,2,0,1,3,-20
Cole Anthony,ORL,ORL @ WAS,01/12/2022,L,33,19,6,17,35.3,2,8,25.0,5,6,83.3,3,8,11,9,0,1,4,5,-7
Jayson Tatum,BOS,BOS @ IND,01/12/2022,W,37,33,11,19,57.9,4,9,44.4,7,8,87.5,0,7,7,4,2,2,4,1,19
Oshae Brissett,IND,IND vs. BOS,01/12/2022,L,25,8,3,7,42.9,1,4,25.0,1,2,50.0,3,6,9,0,1,1,1,3,-2
Grant Williams,BOS,BOS @ IND,01/12/2022,W,23,3,1,2,50.0,0,1,0.0,1,2,50.0,0,1,1,0,2,1,0,4,4
Payton Pritchard,BOS,BOS @ IND,01/12/2022,W,11,3,1,5,20.0,1,2,50.0,0,0,-,0,1,1,1,0,0,0,1,6
Kyle Lowry,MIA,MIA @ ATL,01/12/2022,W,28,8,2,9,22.2,1,5,20.0,3,4,75.0,0,6,6,5,3,0,2,3,10
P.J. Tucker,MIA,MIA @ ATL,01/12/2022,W,28,10,4,9,44.4,2,5,40.0,0,0,-,0,7,7,2,2,0,0,3,13
Gorgui Dieng,ATL,ATL vs. MIA,01/12/2022,L,2,3,1,2,50.0,1,2,50.0,0,0,-,1,0,1,0,0,0,0,0,-3
Timothe Luwawu-Cabarrot,ATL,ATL vs. MIA,01/12/2022,L,13,4,1,4,25.0,0,2,0.0,2,2,100,0,0,0,3,1,0,0,3,-4
John Collins,ATL,ATL vs. MIA,01/12/2022,L,33,16,6,9,66.7,3,4,75.0,1,2,50.0,1,10,11,2,1,0,4,4,-20
Trae Young,ATL,ATL vs. MIA,01/12/2022,L,32,15,4,15,26.7,1,6,16.7,6,7,85.7,0,3,3,5,1,0,4,0,-15
Max Strus,MIA,MIA @ ATL,01/12/2022,W,15,11,3,7,42.9,3,6,50.0,2,2,100,1,1,2,1,0,0,0,2,6
De'Andre Hunter,ATL,ATL vs. MIA,01/12/2022,L,24,15,4,11,36.4,3,4,75.0,4,4,100,0,1,1,0,1,1,0,0,-20
Kyle Guy,MIA,MIA @ ATL,01/12/2022,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,1,0,0,0,0,0
Chris Silva,MIA,MIA @ ATL,01/12/2022,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0
Skylar Mays,ATL,ATL vs. MIA,01/12/2022,L,2,0,0,2,0.0,0,2,0.0,0,0,-,0,0,0,1,0,0,0,0,-3
Sharife Cooper,ATL,ATL vs. MIA,01/12/2022,L,2,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,0,0,0,0,0,-3
Caris LeVert,IND,IND vs. BOS,01/12/2022,L,29,16,6,9,66.7,1,2,50.0,3,5,60.0,0,1,1,4,0,1,1,1,-28
Kentavious Caldwell-Pope,WAS,WAS vs. ORL,01/12/2022,W,31,12,4,11,36.4,3,7,42.9,1,2,50.0,2,8,10,4,1,0,1,2,1
Marko Simonovic,CHI,CHI vs. BKN,01/12/2022,L,3,4,1,2,50.0,0,0,-,2,2,100,0,0,0,0,0,0,0,0,6
Day'Ron Sharpe,BKN,BKN @ CHI,01/12/2022,W,22,20,10,14,71.4,0,0,-,0,0,-,3,4,7,0,0,1,2,6,-5
Austin Reaves,LAL,LAL @ SAC,01/12/2022,L,28,19,7,10,70.0,4,7,57.1,1,1,100,2,1,3,0,0,0,0,1,0
Davion Mitchell,SAC,SAC vs. LAL,01/12/2022,W,18,6,3,7,42.9,0,3,0.0,0,0,-,2,3,5,2,2,2,1,2,6
Tyrese Haliburton,SAC,SAC vs. LAL,01/12/2022,W,38,14,5,10,50.0,2,5,40.0,2,2,100,0,3,3,10,2,1,3,1,8
Talen Horton-Tucker,LAL,LAL @ SAC,01/12/2022,L,19,9,4,9,44.4,1,3,33.3,0,0,-,0,1,1,1,0,0,3,3,-10
Buddy Hield,SAC,SAC vs. LAL,01/12/2022,W,29,10,4,8,50.0,2,5,40.0,0,0,-,1,3,4,1,0,0,1,2,-1
Harrison Barnes,SAC,SAC vs. LAL,01/12/2022,W,38,23,9,14,64.3,3,6,50.0,2,2,100,1,6,7,2,0,1,0,0,12
LeBron James,LAL,LAL @ SAC,01/12/2022,L,39,34,13,29,44.8,3,12,25.0,5,10,50.0,1,6,7,6,0,1,1,2,-12
Evan Mobley,CLE,CLE @ UTA,01/12/2022,W,36,15,7,9,77.8,0,0,-,1,3,33.3,3,7,10,7,0,1,4,1,11
Eric Paschall,UTA,UTA vs. CLE,01/12/2022,L,33,18,8,11,72.7,2,3,66.7,0,0,-,3,4,7,0,0,1,1,0,0
Brandon Goodwin,CLE,CLE @ UTA,01/12/2022,W,14,3,1,3,33.3,1,1,100,0,0,-,0,1,1,1,1,0,0,2,-2
Lauri Markkanen,CLE,CLE @ UTA,01/12/2022,W,35,20,8,11,72.7,4,5,80.0,0,0,-,3,3,6,1,0,1,0,2,20
Denzel Valentine,UTA,UTA vs. CLE,01/12/2022,L,17,5,2,4,50.0,1,3,33.3,0,0,-,0,3,3,0,1,0,2,3,-2
Cedi Osman,CLE,CLE @ UTA,01/12/2022,W,31,8,3,12,25.0,1,7,14.3,1,2,50.0,0,1,1,0,2,0,0,4,-4
Royce O'Neale,UTA,UTA vs. CLE,01/12/2022,L,36,6,2,5,40.0,2,4,50.0,0,0,-,0,9,9,3,2,1,0,3,-21
Kevin Love,CLE,CLE @ UTA,01/12/2022,W,21,16,5,10,50.0,2,5,40.0,4,4,100,0,7,7,1,0,0,2,0,6
Mike Conley,UTA,UTA vs. CLE,01/12/2022,L,27,12,4,10,40.0,2,4,50.0,2,4,50.0,1,1,2,1,1,0,0,3,-5
Joshua Primo,SAS,SAS vs. HOU,01/12/2022,L,25,4,2,5,40.0,0,2,0.0,0,0,-,0,2,2,5,1,0,2,0,6
Kenyon Martin Jr.,HOU,HOU @ SAS,01/12/2022,W,19,6,2,5,40.0,1,3,33.3,1,2,50.0,1,3,4,1,1,1,1,4,5
