Player,Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Wesley Matthews,LAL,LAL @ IND,05/15/2021,W,12,3,0,1,0.0,0,1,0.0,3,3,100,0,1,1,2,1,0,0,1,-4
T.J. McConnell,IND,IND vs. LAL,05/15/2021,L,31,8,4,8,50.0,0,0,-,0,0,-,0,6,6,9,4,1,3,1,-3
Payton Pritchard,BOS,BOS @ MIN,05/15/2021,W,26,11,4,12,33.3,3,7,42.9,0,0,-,0,4,4,1,4,0,1,1,9
Max Strus,MIA,MIA @ MIL,05/15/2021,L,2,3,1,1,100,1,1,100,0,0,-,0,0,0,0,0,1,0,0,3
KZ Okpala,MIA,MIA @ MIL,05/15/2021,L,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,3
James Harden,BKN,BKN vs. CHI,05/15/2021,W,25,5,2,4,50.0,1,3,33.3,0,2,0.0,0,5,5,7,1,2,0,2,5
Jordan Nwora,MIL,MIL vs. MIA,05/15/2021,W,2,0,0,1,0.0,0,0,-,0,0,-,1,0,1,0,0,0,0,0,-3
Montrezl Harrell,LAL,LAL @ IND,05/15/2021,W,19,9,3,6,50.0,0,0,-,3,4,75.0,2,7,9,0,0,0,2,3,-3
Brook Lopez,MIL,MIL vs. MIA,05/15/2021,W,27,18,9,10,90.0,0,0,-,0,0,-,1,5,6,0,0,1,1,0,8
Malik Monk,CHA,CHA @ NYK,05/15/2021,L,15,4,2,8,25.0,0,4,0.0,0,1,0.0,0,1,1,1,0,0,0,2,8
Precious Achiuwa,MIA,MIA @ MIL,05/15/2021,L,2,2,1,2,50.0,0,1,0.0,0,0,-,0,0,0,1,0,0,0,0,3
Torrey Craig,PHX,PHX @ SAS,05/15/2021,W,18,11,5,6,83.3,1,2,50.0,0,0,-,2,7,9,1,2,0,0,1,12
Jayson Tatum,BOS,BOS @ MIN,05/15/2021,W,27,26,8,21,38.1,4,11,36.4,6,6,100,2,9,11,2,1,0,2,1,22
Bismack Biyombo,CHA,CHA @ NYK,05/15/2021,L,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0
Alec Burks,NYK,NYK vs. CHA,05/15/2021,W,30,14,5,12,41.7,2,7,28.6,2,2,100,1,8,9,5,0,0,1,4,4
